"Temperature(Time), created by Plot Digitizer, 2.6.9"
"Date: 22. 9. 10, ¿ÀÈÄ 4:41:21"


17
Time,Temperature
0.520672,-3.70259,
12.0788,4.57878,
14.7606,54.2670,
36.6433,139.314,
46.3150,104.916,
55.1272,235.864,
57.7533,465.085,
58.4909,421.841,
60.4310,511.184,
63.2472,449.540,
65.1171,477.861,
78.0016,270.431,
80.9273,75.9173,
86.1133,20.9437,
87.7497,74.4476,
90.3035,12.8602,
99.7211,-14.3016,
