"Temperature(Time), created by Plot Digitizer, 2.6.9"
"Date: 22. 9. 10, ¿ÀÈÄ 4:35:27"


19
Time,Temperature
0.254236,-7.19998,
10.7168,12.3922,
15.2910,154.664,
18.4202,150.527,
22.6550,210.583,
34.7077,254.931,
45.0645,163.648,
53.8224,312.326,
59.3556,364.995,
63.5325,364.248,
68.6288,506.426,
70.9885,516.736,
72.0224,505.819,
78.7634,729.981,
79.9855,368.460,
83.9715,167.420,
87.5308,66.6208,
87.4729,5.81788,
98.4269,-6.87313,
