"Temperature(Time), created by Plot Digitizer, 2.6.9"
"Date: 22. 9. 10, ¿ÀÈÄ 4:42:50"


14
Time,Temperature
-0.261033,0.0558272,
11.2367,8.29034,
17.2936,53.3336,
24.1213,87.5184,
37.7155,102.434,
45.2731,90.1237,
62.0569,154.260,
67.5918,199.415,
72.0498,216.284,
76.3081,286.663,
79.0779,425.087,
82.1564,149.961,
88.2862,31.0213,
99.2046,-10.5234,
